"fit","matrix_primary","matrix_d3","matrix_booster","income_group","target_pop","hs_constraints","vaccine_doses","vaccine","age_groups_covered","age_groups_covered_d3","vacc_start_vec","dt","repetition","seeding_cases","t_d3","t_d4","vfr","vfr2","max_Rt_var2_scal","vfr_time1","vfr_time2","vfr2_time1","vfr2_time2","mu_ab_infection","mu_ab_inf_scal_vfr","max_ab","hosp_scal_vfr","ICU_scal_vfr","hosp_scal_vfr2","ICU_scal_vfr2","variant_specific","vp_date","dose_3_fold_increase","vfr_drift_factor","rt_drift_factor","end_date","vacc_per_week","age_groups_covered_d5","age_groups_covered_d6","age_groups_covered_d7","age_groups_covered_d8","age_groups_covered_d9","age_groups_covered_d10","t_d5","t_d6","t_d7","t_d8","t_d9","t_d10","scenario","name","mu_ab_d1","mu_ab_d2","k","hl_s","hl_l","period_s","period_l","ab_50","ab_50_severe","std10"
"UKHSA_v6pn_65+_20220702_AZPD2=FALSE_SB=FALSE_NewDecay=TRUE_AddBst=FALSE_AltSev=FALSE_mcmc_chain","./data/HIC_coverage_primary.csv","./data/HIC_coverage_primary.csv","./data/boosters_coverage.csv","HIC",1e+06,"Absent",6,"Moderna",16,16,"01/01/2021",0.25,6,10,365,365,5.1,10,1.3,"11/27/2021","12/31/2021","10/1/2024","10/31/2024",1,0.5,5,0.3,0.3,1,1,1,NA,1.2274,1.025,1,"12/31/2026","0.02",5,5,5,5,5,5,365,365,365,365,365,365,36,"HIC",0.204266355030802,0.92592980813381,3.18040216157134,34.5142828701753,581.376032924834,75.2483574585754,366.457174120638,0.090922439523758,0.0210583976511933,0.44
"UKHSA_v6pn_65+_20220702_AZPD2=FALSE_SB=FALSE_NewDecay=TRUE_AddBst=FALSE_AltSev=FALSE_mcmc_chain","./data/HIC_coverage_primary.csv","./data/HIC_coverage_primary.csv","./data/boosters_coverage.csv","HIC",1e+06,"Absent",6,"Moderna",16,16,"01/01/2021",0.25,7,10,365,365,5.1,5.1,1,"11/27/2021","12/31/2021","10/1/2024","10/31/2024",1,0.5,5,0.3,0.3,0.3,0.3,0,"01/01/2024",1.2274,1.025,1,"12/31/2026","0.02",5,5,5,5,5,5,365,365,365,365,365,365,37,"HIC",0.204266355030802,0.92592980813381,3.18040216157134,34.5142828701753,581.376032924834,75.2483574585754,366.457174120638,0.090922439523758,0.0210583976511933,0.44
"UKHSA_v6pn_65+_20220702_AZPD2=FALSE_SB=FALSE_NewDecay=TRUE_AddBst=FALSE_AltSev=FALSE_mcmc_chain","./data/HIC_coverage_primary.csv","./data/HIC_coverage_primary.csv","./data/boosters_coverage.csv","HIC",1e+06,"Absent",6,"Moderna",16,16,"01/01/2021",0.25,7,10,365,365,5.1,5.1,1,"11/27/2021","12/31/2021","10/1/2024","10/31/2024",1,0.5,5,0.3,0.3,0.3,0.3,1,NA,1.2274,1.025,1,"12/31/2026","0.02",5,5,5,5,5,5,365,365,365,365,365,365,38,"HIC",0.204266355030802,0.92592980813381,3.18040216157134,34.5142828701753,581.376032924834,75.2483574585754,366.457174120638,0.090922439523758,0.0210583976511933,0.44
"UKHSA_v6pn_65+_20220702_AZPD2=FALSE_SB=FALSE_NewDecay=TRUE_AddBst=FALSE_AltSev=FALSE_mcmc_chain","./data/HIC_coverage_primary.csv","./data/HIC_coverage_primary.csv","./data/boosters_coverage.csv","HIC",1e+06,"Absent",6,"Moderna",16,16,"01/01/2021",0.25,7,10,365,365,5.1,7.5,1.1,"11/27/2021","12/31/2021","10/1/2024","10/31/2024",1,0.5,5,0.3,0.3,0.65,0.65,0,"01/01/2024",1.2274,1.025,1,"12/31/2026","0.02",5,5,5,5,5,5,365,365,365,365,365,365,39,"HIC",0.204266355030802,0.92592980813381,3.18040216157134,34.5142828701753,581.376032924834,75.2483574585754,366.457174120638,0.090922439523758,0.0210583976511933,0.44
"UKHSA_v6pn_65+_20220702_AZPD2=FALSE_SB=FALSE_NewDecay=TRUE_AddBst=FALSE_AltSev=FALSE_mcmc_chain","./data/HIC_coverage_primary.csv","./data/HIC_coverage_primary.csv","./data/boosters_coverage.csv","HIC",1e+06,"Absent",6,"Moderna",16,16,"01/01/2021",0.25,7,10,365,365,5.1,7.5,1.1,"11/27/2021","12/31/2021","10/1/2024","10/31/2024",1,0.5,5,0.3,0.3,0.65,0.65,1,NA,1.2274,1.025,1,"12/31/2026","0.02",5,5,5,5,5,5,365,365,365,365,365,365,40,"HIC",0.204266355030802,0.92592980813381,3.18040216157134,34.5142828701753,581.376032924834,75.2483574585754,366.457174120638,0.090922439523758,0.0210583976511933,0.44
"UKHSA_v6pn_65+_20220702_AZPD2=FALSE_SB=FALSE_NewDecay=TRUE_AddBst=FALSE_AltSev=FALSE_mcmc_chain","./data/HIC_coverage_primary.csv","./data/HIC_coverage_primary.csv","./data/boosters_coverage.csv","HIC",1e+06,"Absent",6,"Moderna",16,16,"01/01/2021",0.25,7,10,365,365,5.1,10,1.3,"11/27/2021","12/31/2021","10/1/2024","10/31/2024",1,0.5,5,0.3,0.3,1,1,0,"01/01/2024",1.2274,1.025,1,"12/31/2026","0.02",5,5,5,5,5,5,365,365,365,365,365,365,41,"HIC",0.204266355030802,0.92592980813381,3.18040216157134,34.5142828701753,581.376032924834,75.2483574585754,366.457174120638,0.090922439523758,0.0210583976511933,0.44
"UKHSA_v6pn_65+_20220702_AZPD2=FALSE_SB=FALSE_NewDecay=TRUE_AddBst=FALSE_AltSev=FALSE_mcmc_chain","./data/HIC_coverage_primary.csv","./data/HIC_coverage_primary.csv","./data/boosters_coverage.csv","HIC",1e+06,"Absent",6,"Moderna",16,16,"01/01/2021",0.25,7,10,365,365,5.1,10,1.3,"11/27/2021","12/31/2021","10/1/2024","10/31/2024",1,0.5,5,0.3,0.3,1,1,1,NA,1.2274,1.025,1,"12/31/2026","0.02",5,5,5,5,5,5,365,365,365,365,365,365,42,"HIC",0.204266355030802,0.92592980813381,3.18040216157134,34.5142828701753,581.376032924834,75.2483574585754,366.457174120638,0.090922439523758,0.0210583976511933,0.44
"UKHSA_v6pn_65+_20220702_AZPD2=FALSE_SB=FALSE_NewDecay=TRUE_AddBst=FALSE_AltSev=FALSE_mcmc_chain","./data/HIC_coverage_primary.csv","./data/HIC_coverage_primary.csv","./data/boosters_coverage.csv","HIC",1e+06,"Absent",6,"Moderna",16,16,"01/01/2021",0.25,8,10,365,365,5.1,5.1,1,"11/27/2021","12/31/2021","10/1/2024","10/31/2024",1,0.5,5,0.3,0.3,0.3,0.3,0,"01/01/2024",1.2274,1.025,1,"12/31/2026","0.02",5,5,5,5,5,5,365,365,365,365,365,365,43,"HIC",0.204266355030802,0.92592980813381,3.18040216157134,34.5142828701753,581.376032924834,75.2483574585754,366.457174120638,0.090922439523758,0.0210583976511933,0.44
"UKHSA_v6pn_65+_20220702_AZPD2=FALSE_SB=FALSE_NewDecay=TRUE_AddBst=FALSE_AltSev=FALSE_mcmc_chain","./data/HIC_coverage_primary.csv","./data/HIC_coverage_primary.csv","./data/boosters_coverage.csv","HIC",1e+06,"Absent",6,"Moderna",16,16,"01/01/2021",0.25,8,10,365,365,5.1,5.1,1,"11/27/2021","12/31/2021","10/1/2024","10/31/2024",1,0.5,5,0.3,0.3,0.3,0.3,1,NA,1.2274,1.025,1,"12/31/2026","0.02",5,5,5,5,5,5,365,365,365,365,365,365,44,"HIC",0.204266355030802,0.92592980813381,3.18040216157134,34.5142828701753,581.376032924834,75.2483574585754,366.457174120638,0.090922439523758,0.0210583976511933,0.44
"UKHSA_v6pn_65+_20220702_AZPD2=FALSE_SB=FALSE_NewDecay=TRUE_AddBst=FALSE_AltSev=FALSE_mcmc_chain","./data/HIC_coverage_primary.csv","./data/HIC_coverage_primary.csv","./data/boosters_coverage.csv","HIC",1e+06,"Absent",6,"Moderna",16,16,"01/01/2021",0.25,8,10,365,365,5.1,7.5,1.1,"11/27/2021","12/31/2021","10/1/2024","10/31/2024",1,0.5,5,0.3,0.3,0.65,0.65,0,"01/01/2024",1.2274,1.025,1,"12/31/2026","0.02",5,5,5,5,5,5,365,365,365,365,365,365,45,"HIC",0.204266355030802,0.92592980813381,3.18040216157134,34.5142828701753,581.376032924834,75.2483574585754,366.457174120638,0.090922439523758,0.0210583976511933,0.44
"UKHSA_v6pn_65+_20220702_AZPD2=FALSE_SB=FALSE_NewDecay=TRUE_AddBst=FALSE_AltSev=FALSE_mcmc_chain","./data/HIC_coverage_primary.csv","./data/HIC_coverage_primary.csv","./data/boosters_coverage.csv","HIC",1e+06,"Absent",6,"Moderna",16,16,"01/01/2021",0.25,8,10,365,365,5.1,7.5,1.1,"11/27/2021","12/31/2021","10/1/2024","10/31/2024",1,0.5,5,0.3,0.3,0.65,0.65,1,NA,1.2274,1.025,1,"12/31/2026","0.02",5,5,5,5,5,5,365,365,365,365,365,365,46,"HIC",0.204266355030802,0.92592980813381,3.18040216157134,34.5142828701753,581.376032924834,75.2483574585754,366.457174120638,0.090922439523758,0.0210583976511933,0.44
"UKHSA_v6pn_65+_20220702_AZPD2=FALSE_SB=FALSE_NewDecay=TRUE_AddBst=FALSE_AltSev=FALSE_mcmc_chain","./data/HIC_coverage_primary.csv","./data/HIC_coverage_primary.csv","./data/boosters_coverage.csv","HIC",1e+06,"Absent",6,"Moderna",16,16,"01/01/2021",0.25,8,10,365,365,5.1,10,1.3,"11/27/2021","12/31/2021","10/1/2024","10/31/2024",1,0.5,5,0.3,0.3,1,1,0,"01/01/2024",1.2274,1.025,1,"12/31/2026","0.02",5,5,5,5,5,5,365,365,365,365,365,365,47,"HIC",0.204266355030802,0.92592980813381,3.18040216157134,34.5142828701753,581.376032924834,75.2483574585754,366.457174120638,0.090922439523758,0.0210583976511933,0.44
"UKHSA_v6pn_65+_20220702_AZPD2=FALSE_SB=FALSE_NewDecay=TRUE_AddBst=FALSE_AltSev=FALSE_mcmc_chain","./data/HIC_coverage_primary.csv","./data/HIC_coverage_primary.csv","./data/boosters_coverage.csv","HIC",1e+06,"Absent",6,"Moderna",16,16,"01/01/2021",0.25,8,10,365,365,5.1,10,1.3,"11/27/2021","12/31/2021","10/1/2024","10/31/2024",1,0.5,5,0.3,0.3,1,1,1,NA,1.2274,1.025,1,"12/31/2026","0.02",5,5,5,5,5,5,365,365,365,365,365,365,48,"HIC",0.204266355030802,0.92592980813381,3.18040216157134,34.5142828701753,581.376032924834,75.2483574585754,366.457174120638,0.090922439523758,0.0210583976511933,0.44
"UKHSA_v6pn_65+_20220702_AZPD2=FALSE_SB=FALSE_NewDecay=TRUE_AddBst=FALSE_AltSev=FALSE_mcmc_chain","./data/HIC_coverage_primary.csv","./data/HIC_coverage_primary.csv","./data/boosters_coverage.csv","HIC",1e+06,"Absent",6,"Moderna",16,16,"01/01/2021",0.25,9,10,365,365,5.1,5.1,1,"11/27/2021","12/31/2021","10/1/2024","10/31/2024",1,0.5,5,0.3,0.3,0.3,0.3,0,"01/01/2024",1.2274,1.025,1,"12/31/2026","0.02",5,5,5,5,5,5,365,365,365,365,365,365,49,"HIC",0.204266355030802,0.92592980813381,3.18040216157134,34.5142828701753,581.376032924834,75.2483574585754,366.457174120638,0.090922439523758,0.0210583976511933,0.44
"UKHSA_v6pn_65+_20220702_AZPD2=FALSE_SB=FALSE_NewDecay=TRUE_AddBst=FALSE_AltSev=FALSE_mcmc_chain","./data/HIC_coverage_primary.csv","./data/HIC_coverage_primary.csv","./data/boosters_coverage.csv","HIC",1e+06,"Absent",6,"Moderna",16,16,"01/01/2021",0.25,9,10,365,365,5.1,5.1,1,"11/27/2021","12/31/2021","10/1/2024","10/31/2024",1,0.5,5,0.3,0.3,0.3,0.3,1,NA,1.2274,1.025,1,"12/31/2026","0.02",5,5,5,5,5,5,365,365,365,365,365,365,50,"HIC",0.204266355030802,0.92592980813381,3.18040216157134,34.5142828701753,581.376032924834,75.2483574585754,366.457174120638,0.090922439523758,0.0210583976511933,0.44
"UKHSA_v6pn_65+_20220702_AZPD2=FALSE_SB=FALSE_NewDecay=TRUE_AddBst=FALSE_AltSev=FALSE_mcmc_chain","./data/HIC_coverage_primary.csv","./data/HIC_coverage_primary.csv","./data/boosters_coverage.csv","HIC",1e+06,"Absent",6,"Moderna",16,16,"01/01/2021",0.25,9,10,365,365,5.1,7.5,1.1,"11/27/2021","12/31/2021","10/1/2024","10/31/2024",1,0.5,5,0.3,0.3,0.65,0.65,0,"01/01/2024",1.2274,1.025,1,"12/31/2026","0.02",5,5,5,5,5,5,365,365,365,365,365,365,51,"HIC",0.204266355030802,0.92592980813381,3.18040216157134,34.5142828701753,581.376032924834,75.2483574585754,366.457174120638,0.090922439523758,0.0210583976511933,0.44
"UKHSA_v6pn_65+_20220702_AZPD2=FALSE_SB=FALSE_NewDecay=TRUE_AddBst=FALSE_AltSev=FALSE_mcmc_chain","./data/HIC_coverage_primary.csv","./data/HIC_coverage_primary.csv","./data/boosters_coverage.csv","HIC",1e+06,"Absent",6,"Moderna",16,16,"01/01/2021",0.25,9,10,365,365,5.1,7.5,1.1,"11/27/2021","12/31/2021","10/1/2024","10/31/2024",1,0.5,5,0.3,0.3,0.65,0.65,1,NA,1.2274,1.025,1,"12/31/2026","0.02",5,5,5,5,5,5,365,365,365,365,365,365,52,"HIC",0.204266355030802,0.92592980813381,3.18040216157134,34.5142828701753,581.376032924834,75.2483574585754,366.457174120638,0.090922439523758,0.0210583976511933,0.44
"UKHSA_v6pn_65+_20220702_AZPD2=FALSE_SB=FALSE_NewDecay=TRUE_AddBst=FALSE_AltSev=FALSE_mcmc_chain","./data/HIC_coverage_primary.csv","./data/HIC_coverage_primary.csv","./data/boosters_coverage.csv","HIC",1e+06,"Absent",6,"Moderna",16,16,"01/01/2021",0.25,9,10,365,365,5.1,10,1.3,"11/27/2021","12/31/2021","10/1/2024","10/31/2024",1,0.5,5,0.3,0.3,1,1,0,"01/01/2024",1.2274,1.025,1,"12/31/2026","0.02",5,5,5,5,5,5,365,365,365,365,365,365,53,"HIC",0.204266355030802,0.92592980813381,3.18040216157134,34.5142828701753,581.376032924834,75.2483574585754,366.457174120638,0.090922439523758,0.0210583976511933,0.44
"UKHSA_v6pn_65+_20220702_AZPD2=FALSE_SB=FALSE_NewDecay=TRUE_AddBst=FALSE_AltSev=FALSE_mcmc_chain","./data/HIC_coverage_primary.csv","./data/HIC_coverage_primary.csv","./data/boosters_coverage.csv","HIC",1e+06,"Absent",6,"Moderna",16,16,"01/01/2021",0.25,9,10,365,365,5.1,10,1.3,"11/27/2021","12/31/2021","10/1/2024","10/31/2024",1,0.5,5,0.3,0.3,1,1,1,NA,1.2274,1.025,1,"12/31/2026","0.02",5,5,5,5,5,5,365,365,365,365,365,365,54,"HIC",0.204266355030802,0.92592980813381,3.18040216157134,34.5142828701753,581.376032924834,75.2483574585754,366.457174120638,0.090922439523758,0.0210583976511933,0.44
"UKHSA_v6pn_65+_20220702_AZPD2=FALSE_SB=FALSE_NewDecay=TRUE_AddBst=FALSE_AltSev=FALSE_mcmc_chain","./data/HIC_coverage_primary.csv","./data/HIC_coverage_primary.csv","./data/boosters_coverage.csv","HIC",1e+06,"Absent",6,"Moderna",16,16,"01/01/2021",0.25,10,10,365,365,5.1,5.1,1,"11/27/2021","12/31/2021","10/1/2024","10/31/2024",1,0.5,5,0.3,0.3,0.3,0.3,0,"01/01/2024",1.2274,1.025,1,"12/31/2026","0.02",5,5,5,5,5,5,365,365,365,365,365,365,55,"HIC",0.204266355030802,0.92592980813381,3.18040216157134,34.5142828701753,581.376032924834,75.2483574585754,366.457174120638,0.090922439523758,0.0210583976511933,0.44
"UKHSA_v6pn_65+_20220702_AZPD2=FALSE_SB=FALSE_NewDecay=TRUE_AddBst=FALSE_AltSev=FALSE_mcmc_chain","./data/HIC_coverage_primary.csv","./data/HIC_coverage_primary.csv","./data/boosters_coverage.csv","HIC",1e+06,"Absent",6,"Moderna",16,16,"01/01/2021",0.25,10,10,365,365,5.1,5.1,1,"11/27/2021","12/31/2021","10/1/2024","10/31/2024",1,0.5,5,0.3,0.3,0.3,0.3,1,NA,1.2274,1.025,1,"12/31/2026","0.02",5,5,5,5,5,5,365,365,365,365,365,365,56,"HIC",0.204266355030802,0.92592980813381,3.18040216157134,34.5142828701753,581.376032924834,75.2483574585754,366.457174120638,0.090922439523758,0.0210583976511933,0.44
"UKHSA_v6pn_65+_20220702_AZPD2=FALSE_SB=FALSE_NewDecay=TRUE_AddBst=FALSE_AltSev=FALSE_mcmc_chain","./data/HIC_coverage_primary.csv","./data/HIC_coverage_primary.csv","./data/boosters_coverage.csv","HIC",1e+06,"Absent",6,"Moderna",16,16,"01/01/2021",0.25,10,10,365,365,5.1,7.5,1.1,"11/27/2021","12/31/2021","10/1/2024","10/31/2024",1,0.5,5,0.3,0.3,0.65,0.65,0,"01/01/2024",1.2274,1.025,1,"12/31/2026","0.02",5,5,5,5,5,5,365,365,365,365,365,365,57,"HIC",0.204266355030802,0.92592980813381,3.18040216157134,34.5142828701753,581.376032924834,75.2483574585754,366.457174120638,0.090922439523758,0.0210583976511933,0.44
"UKHSA_v6pn_65+_20220702_AZPD2=FALSE_SB=FALSE_NewDecay=TRUE_AddBst=FALSE_AltSev=FALSE_mcmc_chain","./data/HIC_coverage_primary.csv","./data/HIC_coverage_primary.csv","./data/boosters_coverage.csv","HIC",1e+06,"Absent",6,"Moderna",16,16,"01/01/2021",0.25,10,10,365,365,5.1,7.5,1.1,"11/27/2021","12/31/2021","10/1/2024","10/31/2024",1,0.5,5,0.3,0.3,0.65,0.65,1,NA,1.2274,1.025,1,"12/31/2026","0.02",5,5,5,5,5,5,365,365,365,365,365,365,58,"HIC",0.204266355030802,0.92592980813381,3.18040216157134,34.5142828701753,581.376032924834,75.2483574585754,366.457174120638,0.090922439523758,0.0210583976511933,0.44
"UKHSA_v6pn_65+_20220702_AZPD2=FALSE_SB=FALSE_NewDecay=TRUE_AddBst=FALSE_AltSev=FALSE_mcmc_chain","./data/HIC_coverage_primary.csv","./data/HIC_coverage_primary.csv","./data/boosters_coverage.csv","HIC",1e+06,"Absent",6,"Moderna",16,16,"01/01/2021",0.25,10,10,365,365,5.1,10,1.3,"11/27/2021","12/31/2021","10/1/2024","10/31/2024",1,0.5,5,0.3,0.3,1,1,0,"01/01/2024",1.2274,1.025,1,"12/31/2026","0.02",5,5,5,5,5,5,365,365,365,365,365,365,59,"HIC",0.204266355030802,0.92592980813381,3.18040216157134,34.5142828701753,581.376032924834,75.2483574585754,366.457174120638,0.090922439523758,0.0210583976511933,0.44
"UKHSA_v6pn_65+_20220702_AZPD2=FALSE_SB=FALSE_NewDecay=TRUE_AddBst=FALSE_AltSev=FALSE_mcmc_chain","./data/HIC_coverage_primary.csv","./data/HIC_coverage_primary.csv","./data/boosters_coverage.csv","HIC",1e+06,"Absent",6,"Moderna",16,16,"01/01/2021",0.25,10,10,365,365,5.1,10,1.3,"11/27/2021","12/31/2021","10/1/2024","10/31/2024",1,0.5,5,0.3,0.3,1,1,1,NA,1.2274,1.025,1,"12/31/2026","0.02",5,5,5,5,5,5,365,365,365,365,365,365,60,"HIC",0.204266355030802,0.92592980813381,3.18040216157134,34.5142828701753,581.376032924834,75.2483574585754,366.457174120638,0.090922439523758,0.0210583976511933,0.44
"UKHSA_v6pn_65+_20220702_AZPD2=FALSE_SB=FALSE_NewDecay=TRUE_AddBst=FALSE_AltSev=FALSE_mcmc_chain","./data/HIC_coverage_primary.csv","./data/HIC_coverage_primary.csv","./data/boosters_coverage.csv","HIC",1e+06,"Absent",6,"Moderna",16,16,"01/01/2021",0.25,11,10,365,365,5.1,5.1,1,"11/27/2021","12/31/2021","10/1/2024","10/31/2024",1,0.5,5,0.3,0.3,0.3,0.3,0,"01/01/2024",1.2274,1.025,1,"12/31/2026","0.02",5,5,5,5,5,5,365,365,365,365,365,365,61,"HIC",0.204266355030802,0.92592980813381,3.18040216157134,34.5142828701753,581.376032924834,75.2483574585754,366.457174120638,0.090922439523758,0.0210583976511933,0.44
"UKHSA_v6pn_65+_20220702_AZPD2=FALSE_SB=FALSE_NewDecay=TRUE_AddBst=FALSE_AltSev=FALSE_mcmc_chain","./data/HIC_coverage_primary.csv","./data/HIC_coverage_primary.csv","./data/boosters_coverage.csv","HIC",1e+06,"Absent",6,"Moderna",16,16,"01/01/2021",0.25,11,10,365,365,5.1,5.1,1,"11/27/2021","12/31/2021","10/1/2024","10/31/2024",1,0.5,5,0.3,0.3,0.3,0.3,1,NA,1.2274,1.025,1,"12/31/2026","0.02",5,5,5,5,5,5,365,365,365,365,365,365,62,"HIC",0.204266355030802,0.92592980813381,3.18040216157134,34.5142828701753,581.376032924834,75.2483574585754,366.457174120638,0.090922439523758,0.0210583976511933,0.44
"UKHSA_v6pn_65+_20220702_AZPD2=FALSE_SB=FALSE_NewDecay=TRUE_AddBst=FALSE_AltSev=FALSE_mcmc_chain","./data/HIC_coverage_primary.csv","./data/HIC_coverage_primary.csv","./data/boosters_coverage.csv","HIC",1e+06,"Absent",6,"Moderna",16,16,"01/01/2021",0.25,11,10,365,365,5.1,7.5,1.1,"11/27/2021","12/31/2021","10/1/2024","10/31/2024",1,0.5,5,0.3,0.3,0.65,0.65,0,"01/01/2024",1.2274,1.025,1,"12/31/2026","0.02",5,5,5,5,5,5,365,365,365,365,365,365,63,"HIC",0.204266355030802,0.92592980813381,3.18040216157134,34.5142828701753,581.376032924834,75.2483574585754,366.457174120638,0.090922439523758,0.0210583976511933,0.44
"UKHSA_v6pn_65+_20220702_AZPD2=FALSE_SB=FALSE_NewDecay=TRUE_AddBst=FALSE_AltSev=FALSE_mcmc_chain","./data/HIC_coverage_primary.csv","./data/HIC_coverage_primary.csv","./data/boosters_coverage.csv","HIC",1e+06,"Absent",6,"Moderna",16,16,"01/01/2021",0.25,11,10,365,365,5.1,7.5,1.1,"11/27/2021","12/31/2021","10/1/2024","10/31/2024",1,0.5,5,0.3,0.3,0.65,0.65,1,NA,1.2274,1.025,1,"12/31/2026","0.02",5,5,5,5,5,5,365,365,365,365,365,365,64,"HIC",0.204266355030802,0.92592980813381,3.18040216157134,34.5142828701753,581.376032924834,75.2483574585754,366.457174120638,0.090922439523758,0.0210583976511933,0.44
"UKHSA_v6pn_65+_20220702_AZPD2=FALSE_SB=FALSE_NewDecay=TRUE_AddBst=FALSE_AltSev=FALSE_mcmc_chain","./data/HIC_coverage_primary.csv","./data/HIC_coverage_primary.csv","./data/boosters_coverage.csv","HIC",1e+06,"Absent",6,"Moderna",16,16,"01/01/2021",0.25,11,10,365,365,5.1,10,1.3,"11/27/2021","12/31/2021","10/1/2024","10/31/2024",1,0.5,5,0.3,0.3,1,1,0,"01/01/2024",1.2274,1.025,1,"12/31/2026","0.02",5,5,5,5,5,5,365,365,365,365,365,365,65,"HIC",0.204266355030802,0.92592980813381,3.18040216157134,34.5142828701753,581.376032924834,75.2483574585754,366.457174120638,0.090922439523758,0.0210583976511933,0.44
"UKHSA_v6pn_65+_20220702_AZPD2=FALSE_SB=FALSE_NewDecay=TRUE_AddBst=FALSE_AltSev=FALSE_mcmc_chain","./data/HIC_coverage_primary.csv","./data/HIC_coverage_primary.csv","./data/boosters_coverage.csv","HIC",1e+06,"Absent",6,"Moderna",16,16,"01/01/2021",0.25,11,10,365,365,5.1,10,1.3,"11/27/2021","12/31/2021","10/1/2024","10/31/2024",1,0.5,5,0.3,0.3,1,1,1,NA,1.2274,1.025,1,"12/31/2026","0.02",5,5,5,5,5,5,365,365,365,365,365,365,66,"HIC",0.204266355030802,0.92592980813381,3.18040216157134,34.5142828701753,581.376032924834,75.2483574585754,366.457174120638,0.090922439523758,0.0210583976511933,0.44
"UKHSA_v6pn_65+_20220702_AZPD2=FALSE_SB=FALSE_NewDecay=TRUE_AddBst=FALSE_AltSev=FALSE_mcmc_chain","./data/HIC_coverage_primary.csv","./data/HIC_coverage_primary.csv","./data/boosters_coverage.csv","HIC",1e+06,"Absent",6,"Moderna",16,16,"01/01/2021",0.25,12,10,365,365,5.1,5.1,1,"11/27/2021","12/31/2021","10/1/2024","10/31/2024",1,0.5,5,0.3,0.3,0.3,0.3,0,"01/01/2024",1.2274,1.025,1,"12/31/2026","0.02",5,5,5,5,5,5,365,365,365,365,365,365,67,"HIC",0.204266355030802,0.92592980813381,3.18040216157134,34.5142828701753,581.376032924834,75.2483574585754,366.457174120638,0.090922439523758,0.0210583976511933,0.44
"UKHSA_v6pn_65+_20220702_AZPD2=FALSE_SB=FALSE_NewDecay=TRUE_AddBst=FALSE_AltSev=FALSE_mcmc_chain","./data/HIC_coverage_primary.csv","./data/HIC_coverage_primary.csv","./data/boosters_coverage.csv","HIC",1e+06,"Absent",6,"Moderna",16,16,"01/01/2021",0.25,12,10,365,365,5.1,5.1,1,"11/27/2021","12/31/2021","10/1/2024","10/31/2024",1,0.5,5,0.3,0.3,0.3,0.3,1,NA,1.2274,1.025,1,"12/31/2026","0.02",5,5,5,5,5,5,365,365,365,365,365,365,68,"HIC",0.204266355030802,0.92592980813381,3.18040216157134,34.5142828701753,581.376032924834,75.2483574585754,366.457174120638,0.090922439523758,0.0210583976511933,0.44
"UKHSA_v6pn_65+_20220702_AZPD2=FALSE_SB=FALSE_NewDecay=TRUE_AddBst=FALSE_AltSev=FALSE_mcmc_chain","./data/HIC_coverage_primary.csv","./data/HIC_coverage_primary.csv","./data/boosters_coverage.csv","HIC",1e+06,"Absent",6,"Moderna",16,16,"01/01/2021",0.25,12,10,365,365,5.1,7.5,1.1,"11/27/2021","12/31/2021","10/1/2024","10/31/2024",1,0.5,5,0.3,0.3,0.65,0.65,0,"01/01/2024",1.2274,1.025,1,"12/31/2026","0.02",5,5,5,5,5,5,365,365,365,365,365,365,69,"HIC",0.204266355030802,0.92592980813381,3.18040216157134,34.5142828701753,581.376032924834,75.2483574585754,366.457174120638,0.090922439523758,0.0210583976511933,0.44
"UKHSA_v6pn_65+_20220702_AZPD2=FALSE_SB=FALSE_NewDecay=TRUE_AddBst=FALSE_AltSev=FALSE_mcmc_chain","./data/HIC_coverage_primary.csv","./data/HIC_coverage_primary.csv","./data/boosters_coverage.csv","HIC",1e+06,"Absent",6,"Moderna",16,16,"01/01/2021",0.25,12,10,365,365,5.1,7.5,1.1,"11/27/2021","12/31/2021","10/1/2024","10/31/2024",1,0.5,5,0.3,0.3,0.65,0.65,1,NA,1.2274,1.025,1,"12/31/2026","0.02",5,5,5,5,5,5,365,365,365,365,365,365,70,"HIC",0.204266355030802,0.92592980813381,3.18040216157134,34.5142828701753,581.376032924834,75.2483574585754,366.457174120638,0.090922439523758,0.0210583976511933,0.44
"UKHSA_v6pn_65+_20220702_AZPD2=FALSE_SB=FALSE_NewDecay=TRUE_AddBst=FALSE_AltSev=FALSE_mcmc_chain","./data/HIC_coverage_primary.csv","./data/HIC_coverage_primary.csv","./data/boosters_coverage.csv","HIC",1e+06,"Absent",6,"Moderna",16,16,"01/01/2021",0.25,12,10,365,365,5.1,10,1.3,"11/27/2021","12/31/2021","10/1/2024","10/31/2024",1,0.5,5,0.3,0.3,1,1,0,"01/01/2024",1.2274,1.025,1,"12/31/2026","0.02",5,5,5,5,5,5,365,365,365,365,365,365,71,"HIC",0.204266355030802,0.92592980813381,3.18040216157134,34.5142828701753,581.376032924834,75.2483574585754,366.457174120638,0.090922439523758,0.0210583976511933,0.44
